"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Nov 06 21:24:42 CET 2022","Sun Nov 06 21:24:42 CET 2022","0","","Ecommerce Application","","Ecommerce Application","UI Controls","UI Controls",""
"skipped","Sun Nov 06 21:24:53 CET 2022","Sun Nov 06 21:24:53 CET 2022","1","","Ecommerce Application","","Ecommerce Application","Login Fail Page","Login Fail Page",""
"skipped","Sun Nov 06 21:24:42 CET 2022","Sun Nov 06 21:24:42 CET 2022","0","","Ecommerce Application","","Ecommerce Application","Dynamic Dropdown controls","Dynamic Dropdown controls",""
"passed","Sun Nov 06 21:24:41 CET 2022","Sun Nov 06 21:24:54 CET 2022","12388","","Ecommerce Application","","Ecommerce Application","Login Fail Page","Login Fail Page",""
"passed","Sun Nov 06 21:24:53 CET 2022","Sun Nov 06 21:25:00 CET 2022","6865","","Ecommerce Application","","Ecommerce Application","Login success page","Login success page",""
"skipped","Sun Nov 06 21:24:41 CET 2022","Sun Nov 06 21:24:41 CET 2022","0","","Functional Testing on Application","","Functional Testing on Application","Handling JavaScript alerts","Handling JavaScript alerts",""
"skipped","Sun Nov 06 21:25:01 CET 2022","Sun Nov 06 21:25:01 CET 2022","0","","Windows and Frames Miscellanous","","Windows and Frames Miscellanous","Parent and Child windows switch","Parent and Child windows switch",""
"failed","Sun Nov 06 21:24:42 CET 2022","Sun Nov 06 21:24:48 CET 2022","6277","","Ecommerce Application","","Ecommerce Application","Checkboxes Identification","Checkboxes Identification",""
"skipped","Sun Nov 06 21:24:45 CET 2022","Sun Nov 06 21:24:45 CET 2022","0","","Functional Testing on Application","","Functional Testing on Application","Web Tables search","Web Tables search",""
"skipped","Sun Nov 06 21:24:41 CET 2022","Sun Nov 06 21:24:41 CET 2022","0","","Functional Testing on Application","","Functional Testing on Application","Scrolling and mouse over","Scrolling and mouse over",""
"passed","Sun Nov 06 21:25:01 CET 2022","Sun Nov 06 21:25:08 CET 2022","6694","","Windows and Frames Miscellanous","","Windows and Frames Miscellanous","Frames switch","Frames switch",""
"passed","Sun Nov 06 21:24:41 CET 2022","Sun Nov 06 21:24:59 CET 2022","17454","","Eccommerce Application","","Eccommerce Application","End to End Test","End to End Test",""
"passed","Sun Nov 06 21:24:41 CET 2022","Sun Nov 06 21:24:45 CET 2022","3789","","Functional Testing on Application","","Functional Testing on Application","Web Tables validation","Web Tables validation",""
"passed","Sun Nov 06 21:24:54 CET 2022","Sun Nov 06 21:25:17 CET 2022","23199","","Ecommerce Application","","Ecommerce Application","End to End Test","End to End Test",""
